"X","listing_id","host_id","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","capped_price","capped_minimum_nights","afinnsentiment","bingsentiment","nrcsentiment","ave_sentiment"
13970,33306400,38898844,"Kensington-Chinatown",43.65499,-79.40402,"Private room",61,7,1,"2019-04-24",0.08,1,61,7,6,5,4,0.522602823616573
13971,33308940,106409166,"Niagara",43.63664,-79.40725,"Entire home/apt",325,2,1,"2019-09-22",0.13,4,350,2,4,2,2,0.155177845717559
13973,33311879,250920080,"Waterfront Communities-The Island",43.64169,-79.39145,"Private room",100,1,40,"2020-03-09",3.08,1,100,1,191,86,111,0.396344824637037
13974,33312968,250931206,"Brookhaven-Amesbury",43.69818,-79.49374,"Entire home/apt",75,7,41,"2020-03-20",5.49,3,75,7,131,76,52,0.547764114266541
13975,33313161,131810568,"Trinity-Bellwoods",43.64909,-79.40894,"Private room",53,2,67,"2020-03-13",5.39,2,53,2,319,158,118,0.43136548422873
13976,33315451,71594994,"Guildwood",43.7479,-79.20757,"Private room",37,1,9,"2020-03-31",0.67,3,37,1,44,30,34,0.4473095177104
13977,33317110,226426301,"Malvern",43.79698,-79.21223,"Private room",30,3,6,"2019-09-30",0.44,2,30,3,23,13,5,0.346675995097035
13979,33333607,250535526,"Church-Yonge Corridor",43.66672,-79.38287,"Private room",164,2,11,"2019-08-30",1.02,2,164,2,48,29,28,0.446042455212408
13980,33334949,1292026,"Oakwood Village",43.68127,-79.43806,"Entire home/apt",90,28,18,"2020-01-01",1.52,1,90,28,89,43,39,0.378257917378451
13981,33337921,7526263,"Morningside",43.77228,-79.21741,"Private room",59,2,22,"2020-04-15",1.92,1,59,2,77,39,42,0.552744991212459
13982,33339731,251140520,"Willowdale East",43.77366,-79.41158,"Private room",48,1,12,"2020-03-16",1.04,4,48,1,29,16,20,0.302192036061492
13983,33339814,174969996,"High Park North",43.6552,-79.46011,"Entire home/apt",219,1,9,"2020-01-26",0.68,5,219,1,16,15,17,0.348093430364564
13984,33340297,250170916,"Junction Area",43.66374,-79.46892,"Private room",80,1,8,"2019-09-02",0.6,1,80,1,52,32,18,0.471370006997997
13985,33340535,251140520,"Willowdale East",43.7737,-79.41211,"Private room",45,1,13,"2020-02-08",1.49,4,45,1,61,28,24,0.463621681058985
13986,33340677,251140520,"Willowdale East",43.7728,-79.41068,"Private room",46,5,5,"2019-09-30",0.41,4,46,5,30,11,14,0.274416666082009
13987,33341737,141736106,"Mount Pleasant West",43.70677,-79.39191,"Entire home/apt",129,1,35,"2020-03-16",2.97,1,129,1,200,101,74,0.475987504618101
13988,33343742,21967749,"Little Portugal",43.64741,-79.42399,"Entire home/apt",225,2,3,"2019-09-27",0.32,1,225,2,20,11,15,0.380149200253881
13990,33344210,70081999,"Annex",43.67032,-79.39443,"Entire home/apt",75,1,59,"2020-03-22",5.6,2,75,1,237,106,103,0.400844967476382
13991,33344531,94325307,"University",43.65976,-79.40896,"Private room",46,2,6,"2020-02-20",0.45,2,46,2,7,4,10,0.299406304113335
13992,33344852,2036513,"Dovercourt-Wallace Emerson-Junction",43.66127,-79.44375,"Entire home/apt",84,4,2,"2019-05-28",0.16,2,84,4,7,2,0,0.308071812320835
13993,33345038,251190047,"Humber Summit",43.75537,-79.57677,"Entire home/apt",39,5,10,"2020-03-16",0.89,1,39,5,36,18,10,0.359183788521524
