id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36964414,Upscale 1 1/2 Condo @ King and Sherbourne,29685955,Timothy,,Moss Park,43.65144,-79.36855,Entire home/apt,230,17,0,,,1,0
36967243,"Perfect, Spacious Condo: Queen Bed",277891186,Abhi,,Church-Yonge Corridor,43.66024,-79.38056,Private room,87,1,6,2020-03-08,0.90,1,73
36968589,Like a small apartment! 15 minute walk Uni's/Hosp!,17719217,Lori,,Cabbagetown-South St.James Town,43.66436,-79.37534,Private room,53,14,1,2020-03-02,0.44,3,280
36969058,Private room with amazing views from the 6ix,277908954,Conny,,Waterfront Communities-The Island,43.63948,-79.38453,Private room,70,2,14,2019-11-17,1.47,1,0
36971408,New! Spacious Retreat In Historic Cabbagetown,5939874,Liora,,Moss Park,43.66187,-79.36923,Entire home/apt,135,2,12,2020-02-16,1.27,1,24
36971649,46th Floor Royal CN Tower View + Walk Everywhere,64354866,Dorothy & Mark,,Waterfront Communities-The Island,43.64108,-79.38189,Entire home/apt,100,1,66,2020-03-19,6.85,4,181
36972152,Affordable Urban Studio,277941124,Rose,,Mount Pleasant West,43.69746,-79.39539,Entire home/apt,149,1,14,2020-01-08,1.47,1,0
36973001,Quiet Room w Amazing View In The Heart Of Toronto,112485913,Mia,,Mount Pleasant West,43.69985,-79.39326,Private room,1000,1,68,2020-04-01,7.31,1,364
36973363,Family place in Toronto,71519320,Maryam,,Willowdale West,43.76938,-79.42975,Entire home/apt,110,240,0,,,1,0
36973388,High End Downtown Toronto Home - Free Parking,8366244,Patrick And Emilia,,Regent Park,43.65636,-79.36121,Entire home/apt,649,5,0,,,2,179
36973704,"‘禅’ZEN in Summer.Stylish,Cozy&Location(2 BEDROOMs)",224069901,Stanley,,Waterfront Communities-The Island,43.64252,-79.39662,Entire home/apt,49,1,20,2020-02-17,2.07,6,4
36974491,REDUCED 20-30% March & April CN Tower Modern Suite,277966059,Jeremy,,Niagara,43.63825,-79.40478,Entire home/apt,179,13,36,2020-03-15,4.20,1,131
36975519,Cozy newly renovated condo by the Toronto Airport,60268969,Rawan,,Kingsview Village-The Westway,43.69469,-79.55612,Private room,51,1,2,2019-11-02,0.24,1,88
36977689,Super-Convenient Studio in Heart of Leslieville!,278004800,Adam,,South Riverdale,43.66007,-79.33706,Entire home/apt,75,2,4,2020-04-05,1.60,1,0
36979253,(U6) Modern Bedroom With Private Bathroom,217391546,Ai Ying,,Milliken,43.82645,-79.29281,Private room,48,1,3,2019-12-25,0.36,6,167
36980942,Downtown Condo near CN Tow/Blue Jays/T.O. nigtlife,186658962,Q&C,,Niagara,43.63619,-79.40368,Entire home/apt,163,30,2,2019-10-24,0.24,4,146
36981747,"Lakeside Penthouse w/ gym, pool, jacuzzi",72647283,Mackenzie Leigh,,Mimico (includes Humber Bay Shores),43.62387,-79.48359,Entire home/apt,249,10,1,2019-08-11,0.11,1,0
36985330,Elegant and modern condo on Queen West!,18839407,Nick,,Little Portugal,43.64289,-79.42497,Private room,47,2,2,2019-10-31,0.29,2,0
36985840,Rodgers place 1,266907253,William,,Wexford/Maryvale,43.75986,-79.30189,Private room,70,7,3,2020-02-01,0.36,2,32
36990618,Downtown Luxury 1 BR Smart Condo (1mins -CN Tower),91804225,Deon Lee,,Waterfront Communities-The Island,43.6381,-79.39923,Entire home/apt,250,2,12,2020-01-24,1.43,1,86
